2023-04-26 15:34:20,500 - __main__ - INFO - Token value: helloworld
2023-04-26 15:34:20,954 - __main__ - INFO - Weather in Berlin: 10.39
2023-04-26 15:39:33,613 - __main__ - INFO - Token value: helloworld
2023-04-26 15:39:34,351 - __main__ - INFO - Weather in Berlin: 10.39
2023-04-26 15:49:34,212 - __main__ - INFO - Token value: 
2023-04-26 15:49:34,391 - __main__ - INFO - Weather in Berlin: 10.39
2023-04-26 15:57:11,218 - __main__ - INFO - Token value: 
2023-04-26 15:57:11,763 - __main__ - INFO - Weather in Berlin: 10.26
2023-04-27 01:22:22,339 - __main__ - INFO - code: 10000, dou: True
2023-04-27 02:40:43,109 - __main__ - INFO - code: 10000, dou: True
2023-04-27 12:40:13,328 - __main__ - INFO - code: 10000, dou: True
2023-04-28 01:42:48,548 - __main__ - INFO - code: 10000, dou: 70
2023-04-28 12:39:53,072 - __main__ - INFO - code: 10000, dou: True
2023-04-29 01:40:36,228 - __main__ - INFO - code: 10000, dou: 80
2023-04-29 12:37:27,764 - __main__ - INFO - code: 10000, dou: True
2023-04-29 18:22:47,844 - __main__ - INFO - code: 10000, dou: 90
2023-04-29 18:22:49,051 - __main__ - INFO - code: 10000, dou: 60
2023-04-30 01:41:04,319 - __main__ - INFO - code: 10000, dou: True
2023-04-30 01:41:05,521 - __main__ - INFO - code: 10000, dou: True
2023-04-30 06:23:54,305 - __main__ - INFO - code: 10000, dou: True
2023-04-30 06:23:55,640 - __main__ - INFO - code: 10000, dou: True
2023-04-30 12:34:24,903 - __main__ - INFO - code: 10000, dou: True
2023-04-30 12:34:26,146 - __main__ - INFO - code: 10000, dou: True
2023-04-30 18:22:23,720 - __main__ - INFO - code: 10000, dou: 100
2023-04-30 18:22:25,081 - __main__ - INFO - code: 10000, dou: 70
2023-05-01 01:40:27,191 - __main__ - INFO - code: 10000, dou: True
2023-05-01 01:40:28,260 - __main__ - INFO - code: 10000, dou: True
2023-05-01 06:25:25,789 - __main__ - INFO - code: 10000, dou: True
2023-05-01 06:25:27,086 - __main__ - INFO - code: 10000, dou: True
2023-05-01 12:36:23,395 - __main__ - INFO - code: 10000, dou: True
2023-05-01 12:36:24,636 - __main__ - INFO - code: 10000, dou: True
2023-05-01 18:23:56,977 - __main__ - INFO - code: 10000, dou: 110
2023-05-01 18:23:58,351 - __main__ - INFO - code: 10000, dou: 80
2023-05-02 01:37:28,013 - __main__ - INFO - code: 10000, dou: True
2023-05-02 01:37:29,458 - __main__ - INFO - code: 10000, dou: True
2023-05-02 06:25:08,664 - __main__ - INFO - code: 10000, dou: True
2023-05-02 06:25:09,969 - __main__ - INFO - code: 10000, dou: True
2023-05-02 12:38:31,578 - __main__ - INFO - code: 10000, dou: True
2023-05-02 12:38:32,792 - __main__ - INFO - code: 10000, dou: True
2023-05-02 18:23:31,684 - __main__ - INFO - code: 10000, dou: 120
2023-05-02 18:23:32,738 - __main__ - INFO - code: 10000, dou: 90
2023-05-03 01:37:25,231 - __main__ - INFO - code: 10000, dou: True
2023-05-03 01:37:26,501 - __main__ - INFO - code: 10000, dou: True
2023-05-03 06:24:27,330 - __main__ - INFO - code: 10000, dou: True
2023-05-03 06:24:28,359 - __main__ - INFO - code: 10000, dou: True
2023-05-03 12:37:24,469 - __main__ - INFO - code: 10000, dou: True
2023-05-03 12:37:25,503 - __main__ - INFO - code: 10000, dou: True
2023-05-03 18:23:52,881 - __main__ - INFO - code: 10000, dou: 130
2023-05-03 18:23:53,982 - __main__ - INFO - code: 10000, dou: 100
2023-05-04 01:34:57,924 - __main__ - INFO - code: 10000, dou: True
2023-05-04 01:34:59,248 - __main__ - INFO - code: 10000, dou: True
2023-05-04 06:24:46,112 - __main__ - INFO - code: 10000, dou: True
2023-05-04 06:24:47,052 - __main__ - INFO - code: 10000, dou: True
2023-05-04 12:37:09,298 - __main__ - INFO - code: 10000, dou: True
2023-05-04 12:37:10,337 - __main__ - INFO - code: 10000, dou: True
2023-05-04 18:23:53,190 - __main__ - INFO - code: 10000, dou: 140
2023-05-04 18:23:54,471 - __main__ - INFO - code: 10000, dou: 110
2023-05-05 12:35:58,379 - __main__ - INFO - code: 10000, dou: True
2023-05-05 12:35:59,809 - __main__ - INFO - code: 10000, dou: True
2023-05-06 01:33:17,692 - __main__ - INFO - code: 10000, dou: 150
2023-05-06 01:33:18,648 - __main__ - INFO - code: 10000, dou: 120
2023-05-06 12:34:34,124 - __main__ - INFO - code: 10000, dou: True
2023-05-06 12:34:35,296 - __main__ - INFO - code: 10000, dou: True
2023-05-07 01:44:28,729 - __main__ - INFO - code: 10000, dou: 150
2023-05-07 01:44:30,216 - __main__ - INFO - code: 10000, dou: 130
2023-05-07 12:34:21,124 - __main__ - INFO - code: 10000, dou: True
2023-05-07 12:34:22,512 - __main__ - INFO - code: 10000, dou: True
2023-05-08 01:38:31,733 - __main__ - INFO - code: 10000, dou: 150
2023-05-08 01:38:32,820 - __main__ - INFO - code: 10000, dou: 140
2023-05-08 12:38:13,912 - __main__ - INFO - code: 10000, dou: True
2023-05-08 12:38:15,334 - __main__ - INFO - code: 10000, dou: True
2023-05-09 01:39:26,514 - __main__ - INFO - code: 10000, dou: 150
2023-05-09 01:39:27,582 - __main__ - INFO - code: 10000, dou: 150
2023-05-09 13:13:41,575 - __main__ - INFO - code: 10000, dou: True
2023-05-09 13:13:43,038 - __main__ - INFO - code: 10000, dou: True
2023-05-10 01:35:59,638 - __main__ - INFO - code: 10000, dou: 150
2023-05-10 01:36:01,104 - __main__ - INFO - code: 10000, dou: 150
2023-05-10 12:37:36,659 - __main__ - INFO - code: 10000, dou: True
2023-05-10 12:37:38,056 - __main__ - INFO - code: 10000, dou: True
2023-05-11 01:38:15,455 - __main__ - INFO - code: 10000, dou: 150
2023-05-11 01:38:16,881 - __main__ - INFO - code: 10000, dou: 150
2023-05-11 12:38:05,556 - __main__ - INFO - code: 10000, dou: True
2023-05-11 12:38:06,889 - __main__ - INFO - code: 10000, dou: True
2023-05-12 01:36:38,317 - __main__ - INFO - code: 10000, dou: 150
2023-05-12 01:36:39,620 - __main__ - INFO - code: 10000, dou: 150
2023-05-12 12:36:13,651 - __main__ - INFO - code: 10000, dou: True
2023-05-12 12:36:14,558 - __main__ - INFO - code: 10000, dou: True
2023-05-13 01:36:09,376 - __main__ - INFO - code: 10000, dou: 150
2023-05-13 01:36:10,705 - __main__ - INFO - code: 10000, dou: 150
2023-05-13 12:34:08,475 - __main__ - INFO - code: 10000, dou: True
2023-05-13 12:34:09,403 - __main__ - INFO - code: 10000, dou: True
2023-05-14 01:43:43,557 - __main__ - INFO - code: 10000, dou: 150
2023-05-14 01:43:44,783 - __main__ - INFO - code: 10000, dou: 150
2023-05-14 12:34:47,795 - __main__ - INFO - code: 10000, dou: True
2023-05-14 12:34:49,032 - __main__ - INFO - code: 10000, dou: True
2023-05-15 01:41:26,571 - __main__ - INFO - code: 10000, dou: 150
2023-05-15 01:41:27,616 - __main__ - INFO - code: 10000, dou: 150
2023-05-15 12:39:08,439 - __main__ - INFO - code: 10000, dou: True
2023-05-15 12:39:09,595 - __main__ - INFO - code: 10000, dou: True
2023-05-16 01:41:22,479 - __main__ - INFO - code: 10000, dou: 150
2023-05-16 01:41:23,797 - __main__ - INFO - code: 10000, dou: 150
2023-05-16 12:40:18,061 - __main__ - INFO - code: 10000, dou: True
2023-05-16 12:40:19,590 - __main__ - INFO - code: 10000, dou: True
2023-05-17 01:41:55,824 - __main__ - INFO - code: 10000, dou: 150
2023-05-17 01:41:57,143 - __main__ - INFO - code: 10000, dou: 150
2023-05-17 12:37:41,815 - __main__ - INFO - code: 10000, dou: True
2023-05-17 12:37:42,731 - __main__ - INFO - code: 10000, dou: True
2023-05-18 01:39:35,956 - __main__ - INFO - code: 10000, dou: 150
2023-05-18 01:39:37,422 - __main__ - INFO - code: 10000, dou: 150
2023-05-18 12:38:00,739 - __main__ - INFO - code: 10000, dou: True
2023-05-18 12:38:01,723 - __main__ - INFO - code: 10000, dou: True
2023-05-19 01:40:01,654 - __main__ - INFO - code: 10000, dou: 150
2023-05-19 01:40:03,024 - __main__ - INFO - code: 10000, dou: 150
2023-05-19 12:35:41,467 - __main__ - INFO - code: 10000, dou: True
2023-05-19 12:35:42,703 - __main__ - INFO - code: 10000, dou: True
2023-05-20 01:37:48,366 - __main__ - INFO - code: 10000, dou: 150
2023-05-20 01:37:49,367 - __main__ - INFO - code: 10000, dou: 150
2023-05-20 12:34:06,931 - __main__ - INFO - code: 10000, dou: True
